event_id,upstream_model_family,model_family,representation_seed,decision_seed,investor_group,contrast,comparison,baseline,expressed_reason_comparison,expressed_reason_baseline,expressed_reason_delta,uncertainty_frame_comparison,uncertainty_frame_baseline,uncertainty_frame_delta,composite_reasoning_comparison,composite_reasoning_baseline,composite_reasoning_delta
evt_0090,claude-sonnet-4.5,qwen3-235b-a22b,2,1,institutional,T4_minus_T3,T4,T3,0.06024554975519233,0.08483052791370758,-0.024584978158515257,0.17940157453898312,0.14741867492921773,0.031982899609765386,0.06359103904550512,0.05757672338148717,0.006014315664017944
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,all_profiles,T3_minus_T2,T3,T2,0.06542557943860626,0.04943495857767567,0.015990620860930588,0.06385201506193877,0.12014840058134471,-0.05629638551940594,0.058218809799257316,0.04139963448496284,0.016819175314294478
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,all_profiles,T4_minus_T2,T4,T2,0.06833351391276,0.04943495857767567,0.018898555335084333,0.10170042668030077,0.12014840058134471,-0.01844797390104394,0.06522780098098119,0.04139963448496284,0.02382816649601835
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,all_profiles,T4_minus_T3,T4,T3,0.06833351391276,0.06542557943860626,0.002907934474153745,0.10170042668030077,0.06385201506193877,0.037848411618362,0.06522780098098119,0.058218809799257316,0.007008991181723871
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,retail,T3_minus_T2,T3,T2,0.04361818819174854,0.05833041087457145,-0.014712222682822906,0.05291869145268927,0.09834336074406143,-0.045424669291372156,0.04184368220303364,0.04953508097666498,-0.007691398773631342
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,retail,T4_minus_T2,T4,T2,0.057139720194718115,0.05833041087457145,-0.0011906906798533345,0.1025198871212439,0.09834336074406143,0.004176526377182466,0.0574183093604787,0.04953508097666498,0.007883228383813723
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,retail,T4_minus_T3,T4,T3,0.057139720194718115,0.04361818819174854,0.013521532002969572,0.1025198871212439,0.05291869145268927,0.04960119566855462,0.0574183093604787,0.04184368220303364,0.015574627157445065
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,institutional,T3_minus_T2,T3,T2,0.09342460917504543,0.04243533287732274,0.05098927629772269,0.07723488307934645,0.12629582772194858,-0.04906094464260213,0.08160741114093416,0.03732358741830932,0.044283823722624835
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,institutional,T4_minus_T2,T4,T2,0.09538214264148244,0.04243533287732274,0.0529468097641597,0.06147521863140193,0.12629582772194858,-0.06482060909054665,0.08587759940374907,0.03732358741830932,0.04855401198543975
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,1,1,institutional,T4_minus_T3,T4,T3,0.09538214264148244,0.09342460917504543,0.0019575334664370114,0.06147521863140193,0.07723488307934645,-0.01575966444794452,0.08587759940374907,0.08160741114093416,0.004270188262814917
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,all_profiles,T3_minus_T2,T3,T2,0.04814680707995998,0.0478590005748248,0.00028780650513518524,0.10129824333259878,0.0730766997956276,0.028221543536971178,0.0426320356580269,0.04401459993521135,-0.0013825642771844449
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,all_profiles,T4_minus_T2,T4,T2,0.06833351391276,0.0478590005748248,0.020474513337935207,0.10170042668030077,0.0730766997956276,0.02862372688467317,0.06522780098098119,0.04401459993521135,0.02121320104576984
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,all_profiles,T4_minus_T3,T4,T3,0.06833351391276,0.04814680707995998,0.020186706832800022,0.10170042668030077,0.10129824333259878,0.0004021833477019926,0.06522780098098119,0.0426320356580269,0.022595765322954285
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,retail,T3_minus_T2,T3,T2,0.05777191659626402,0.042046212067293,0.01572570452897102,0.09627866508429737,0.07061368951990689,0.025664975564390485,0.04903935386895377,0.040663197573368594,0.008376156295585177
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,retail,T4_minus_T2,T4,T2,0.057139720194718115,0.042046212067293,0.015093508127425118,0.1025198871212439,0.07061368951990689,0.031906197601337005,0.0574183093604787,0.040663197573368594,0.01675511178711011
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,retail,T4_minus_T3,T4,T3,0.057139720194718115,0.05777191659626402,-0.0006321964015459022,0.1025198871212439,0.09627866508429737,0.00624122203694652,0.0574183093604787,0.04903935386895377,0.008378955491524932
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,institutional,T3_minus_T2,T3,T2,0.0446318501200603,0.05249228532928182,-0.007860435209221514,0.11397372127537685,0.07337690826526842,0.040596813010108423,0.040431200237486496,0.04687545801437385,-0.006444257776887355
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,institutional,T4_minus_T2,T4,T2,0.09538214264148244,0.05249228532928182,0.04288985731220062,0.06147521863140193,0.07337690826526842,-0.011901689633866494,0.08587759940374907,0.04687545801437385,0.039002141389375224
evt_0090,qwen3-235b-a22b,claude-sonnet-4.5,2,1,institutional,T4_minus_T3,T4,T3,0.09538214264148244,0.0446318501200603,0.05075029252142214,0.06147521863140193,0.11397372127537685,-0.05249850264397492,0.08587759940374907,0.040431200237486496,0.04544639916626258
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,all_profiles,T3_minus_T2,T3,T2,0.17139950736362414,0.13585510260144468,0.03554440476217946,0.24369275143841385,0.11915118834520157,0.12454156309321228,0.14192948038458092,0.09062041492056704,0.051309065464013884
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,all_profiles,T4_minus_T2,T4,T2,0.06952438754344144,0.13585510260144468,-0.06633071505800324,0.10724547807948497,0.11915118834520157,-0.011905710265716601,0.05836597663360207,0.09062041492056704,-0.03225443828696497
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,all_profiles,T4_minus_T3,T4,T3,0.06952438754344144,0.17139950736362414,-0.1018751198201827,0.10724547807948497,0.24369275143841385,-0.13644727335892887,0.05836597663360207,0.14192948038458092,-0.08356350375097885
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,retail,T3_minus_T2,T3,T2,0.18067184531099056,0.11932311626675618,0.061348729044234385,0.2685387832196967,0.11299292130705985,0.15554586191263686,0.15258625661966535,0.07877883188543873,0.07380742473422662
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,retail,T4_minus_T2,T4,T2,0.07709699919258517,0.11932311626675618,-0.04222611707417101,0.12082956087569457,0.11299292130705985,0.007836639568634729,0.07101083425185456,0.07877883188543873,-0.00776799763358417
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,retail,T4_minus_T3,T4,T3,0.07709699919258517,0.18067184531099056,-0.1035748461184054,0.12082956087569457,0.2685387832196967,-0.14770922234400213,0.07101083425185456,0.15258625661966535,-0.08157542236781079
evt_0090,qwen3-235b-a22b,deepseek-v3.1,1,1,institutional,T3_minus_T2,T3,T2,0.167585923911497,0.1599177145560394,0.007668209355457589,0.24868592096011718,0.13663393679270425,0.11205198416741294,0.11931293897879924,0.11106808099654998,0.008244857982249262
